-> customer[90]: {atime 89, dtime 79, btype 1, money 231}
-> customer[742]: {atime 741, dtime 72, btype 1, money 770}
-> customer[745]: {atime 744, dtime 4, btype 0, money 818}
-> customer[748]: {atime 747, dtime 30, btype 1, money 52}
-> customer[751]: {atime 750, dtime 19, btype 1, money 245}
-> customer[756]: {atime 755, dtime 11, btype 0, money 996}
-> customer[759]: {atime 758, dtime 85, btype 1, money 40}
-> customer[761]: {atime 760, dtime 58, btype 0, money 29}
-> customer[763]: {atime 762, dtime 60, btype 1, money 429}
-> customer[766]: {atime 765, dtime 81, btype 0, money 444}
-> customer[769]: {atime 768, dtime 92, btype 1, money 600}
-> customer[772]: {atime 771, dtime 22, btype 0, money 349}
-> customer[775]: {atime 774, dtime 19, btype 1, money 562}
-> customer[778]: {atime 777, dtime 94, btype 1, money 177}
-> customer[781]: {atime 780, dtime 6, btype 0, money 372}
-> customer[784]: {atime 783, dtime 81, btype 0, money 98}
-> customer[787]: {atime 786, dtime 55, btype 0, money 627}
-> customer[790]: {atime 789, dtime 50, btype 0, money 632}
-> customer[793]: {atime 792, dtime 32, btype 1, money 23}
-> customer[796]: {atime 795, dtime 36, btype 0, money 174}
-> customer[799]: {atime 798, dtime 92, btype 0, money 782}
-> customer[802]: {atime 801, dtime 15, btype 1, money 314}
-> customer[805]: {atime 804, dtime 59, btype 0, money 400}
-> customer[809]: {atime 808, dtime 86, btype 1, money 493}
-> customer[812]: {atime 811, dtime 77, btype 1, money 880}
-> customer[815]: {atime 814, dtime 87, btype 1, money 8}
-> customer[818]: {atime 817, dtime 5, btype 1, money 602}
-> customer[821]: {atime 820, dtime 67, btype 0, money 171}
-> customer[824]: {atime 823, dtime 54, btype 1, money 395}
-> customer[827]: {atime 826, dtime 12, btype 1, money 683}
-> customer[830]: {atime 829, dtime 3, btype 1, money 801}
-> customer[833]: {atime 832, dtime 58, btype 1, money 321}
-> customer[836]: {atime 835, dtime 12, btype 0, money 23}
-> customer[839]: {atime 838, dtime 19, btype 0, money 282}
-> customer[842]: {atime 841, dtime 100, btype 1, money 236}
-> customer[845]: {atime 844, dtime 36, btype 0, money 552}
-> customer[846]: {atime 845, dtime 16, btype 0, money 704}
-> customer[850]: {atime 849, dtime 66, btype 1, money 867}
-> customer[853]: {atime 852, dtime 12, btype 0, money 571}
-> customer[856]: {atime 855, dtime 51, btype 1, money 258}
-> customer[859]: {atime 858, dtime 45, btype 0, money 71}
-> customer[862]: {atime 861, dtime 98, btype 0, money 561}
-> customer[865]: {atime 864, dtime 10, btype 0, money 795}
-> customer[869]: {atime 868, dtime 92, btype 0, money 697}
-> customer[872]: {atime 871, dtime 43, btype 1, money 77}
-> customer[875]: {atime 874, dtime 60, btype 0, money 58}
-> customer[878]: {atime 877, dtime 25, btype 1, money 604}
-> customer[881]: {atime 880, dtime 44, btype 0, money 553}
-> customer[884]: {atime 883, dtime 86, btype 0, money 570}
-> customer[887]: {atime 886, dtime 43, btype 1, money 426}
-> customer[890]: {atime 889, dtime 85, btype 0, money 766}
-> customer[893]: {atime 892, dtime 44, btype 0, money 182}
-> customer[896]: {atime 895, dtime 22, btype 0, money 235}
-> customer[899]: {atime 898, dtime 7, btype 1, money 209}
-> customer[902]: {atime 901, dtime 15, btype 0, money 703}
-> customer[905]: {atime 904, dtime 11, btype 1, money 877}
-> customer[908]: {atime 907, dtime 65, btype 0, money 430}
-> customer[909]: {atime 908, dtime 66, btype 0, money 463}
-> customer[913]: {atime 912, dtime 52, btype 1, money 449}
-> customer[916]: {atime 915, dtime 20, btype 1, money 138}
-> customer[919]: {atime 918, dtime 39, btype 1, money 953}
-> customer[922]: {atime 921, dtime 33, btype 1, money 234}
-> customer[925]: {atime 924, dtime 20, btype 1, money 950}
-> customer[929]: {atime 928, dtime 46, btype 1, money 658}
-> customer[931]: {atime 930, dtime 28, btype 0, money 150}
-> customer[935]: {atime 934, dtime 62, btype 0, money 42}
-> customer[938]: {atime 937, dtime 53, btype 1, money 84}
-> customer[941]: {atime 940, dtime 64, btype 0, money 892}
-> customer[944]: {atime 943, dtime 52, btype 0, money 319}
-> customer[947]: {atime 946, dtime 30, btype 1, money 325}
-> customer[950]: {atime 949, dtime 46, btype 0, money 544}
-> customer[953]: {atime 952, dtime 89, btype 0, money 838}
-> customer[957]: {atime 956, dtime 1, btype 0, money 688}
-> customer[961]: {atime 960, dtime 54, btype 0, money 550}
-> customer[964]: {atime 963, dtime 97, btype 0, money 79}
-> customer[967]: {atime 966, dtime 42, btype 1, money 542}
-> customer[970]: {atime 969, dtime 17, btype 0, money 702}
-> customer[973]: {atime 972, dtime 23, btype 0, money 818}
-> customer[976]: {atime 975, dtime 27, btype 1, money 808}
-> customer[979]: {atime 978, dtime 94, btype 1, money 431}
-> customer[982]: {atime 981, dtime 64, btype 0, money 90}
-> customer[985]: {atime 984, dtime 36, btype 1, money 437}
-> customer[988]: {atime 987, dtime 57, btype 1, money 24}
-> customer[991]: {atime 990, dtime 74, btype 1, money 626}
-> customer[995]: {atime 994, dtime 52, btype 0, money 761}

QueueANo.3:
-> customer[91]: {atime 90, dtime 60, btype 1, money 103}
-> customer[94]: {atime 93, dtime 79, btype 0, money 107}
-> customer[97]: {atime 96, dtime 78, btype 1, money 267}
-> customer[100]: {atime 99, dtime 6, btype 0, money 227}
-> customer[103]: {atime 102, dtime 66, btype 1, money 147}
-> customer[109]: {atime 108, dtime 60, btype 1, money 66}
-> customer[111]: {atime 110, dtime 47, btype 1, money 696}
-> customer[114]: {atime 113, dtime 6, btype 0, money 839}
-> customer[118]: {atime 117, dtime 30, btype 0, money 489}
-> customer[121]: {atime 120, dtime 52, btype 0, money 624}
-> customer[124]: {atime 123, dtime 97, btype 1, money 206}
-> customer[127]: {atime 126, dtime 37, btype 1, money 5}
-> customer[130]: {atime 129, dtime 59, btype 1, money 159}
-> customer[133]: {atime 132, dtime 70, btype 1, money 547}
-> customer[136]: {atime 135, dtime 27, btype 1, money 864}
-> customer[139]: {atime 138, dtime 24, btype 0, money 432}
-> customer[140]: {atime 139, dtime 50, btype 0, money 218}
-> customer[141]: {atime 140, dtime 37, btype 0, money 118}
-> customer[145]: {atime 144, dtime 41, btype 1, money 860}
-> customer[148]: {atime 147, dtime 39, btype 0, money 503}
-> customer[151]: {atime 150, dtime 9, btype 1, money 788}
-> customer[154]: {atime 153, dtime 94, btype 0, money 680}
-> customer[157]: {atime 156, dtime 63, btype 1, money 673}
-> customer[161]: {atime 160, dtime 30, btype 1, money 585}
-> customer[164]: {atime 163, dtime 22, btype 0, money 507}
-> customer[167]: {atime 166, dtime 16, btype 0, money 209}
-> customer[170]: {atime 169, dtime 78, btype 0, money 757}
-> customer[173]: {atime 172, dtime 75, btype 0, money 243}
-> customer[177]: {atime 176, dtime 38, btype 0, money 429}
-> customer[180]: {atime 179, dtime 51, btype 0, money 120}
-> customer[181]: {atime 180, dtime 1, btype 1, money 251}
-> customer[184]: {atime 183, dtime 67, btype 0, money 200}
-> customer[188]: {atime 187, dtime 89, btype 0, money 355}
-> customer[191]: {atime 190, dtime 90, btype 0, money 256}
-> customer[192]: {atime 191, dtime 81, btype 0, money 919}
-> customer[196]: {atime 195, dtime 52, btype 0, money 800}
-> customer[198]: {atime 197, dtime 36, btype 1, money 268}
-> customer[200]: {atime 199, dtime 55, btype 0, money 196}
-> customer[203]: {atime 202, dtime 25, btype 1, money 823}
-> customer[206]: {atime 205, dtime 4, btype 1, money 277}
-> customer[209]: {atime 208, dtime 96, btype 1, money 926}
-> customer[212]: {atime 211, dtime 71, btype 1, money 922}
-> customer[215]: {atime 214, dtime 98, btype 0, money 854}
-> customer[218]: {atime 217, dtime 53, btype 1, money 324}
-> customer[221]: {atime 220, dtime 14, btype 0, money 454}
-> customer[224]: {atime 223, dtime 39, btype 0, money 804}
-> customer[227]: {atime 226, dtime 1, btype 1, money 252}
-> customer[230]: {atime 229, dtime 80, btype 1, money 858}
-> customer[233]: {atime 232, dtime 48, btype 0, money 169}
-> customer[236]: {atime 235, dtime 79, btype 0, money 465}
-> customer[239]: {atime 238, dtime 36, btype 0, money 17}
-> customer[242]: {atime 241, dtime 8, btype 0, money 855}
-> customer[244]: {atime 243, dtime 88, btype 1, money 469}
-> customer[246]: {atime 245, dtime 42, btype 0, money 85}
-> customer[249]: {atime 248, dtime 31, btype 0, money 684}
-> customer[253]: {atime 252, dtime 61, btype 0, money 90}
-> customer[256]: {atime 255, dtime 26, btype 0, money 114}
-> customer[259]: {atime 258, dtime 77, btype 1, money 75}
-> customer[262]: {atime 261, dtime 37, btype 0, money 577}
-> customer[265]: {atime 264, dtime 35, btype 1, money 894}
-> customer[268]: {atime 267, dtime 80, btype 1, money 898}
-> customer[271]: {atime 270, dtime 20, btype 1, money 389}
-> customer[275]: {atime 274, dtime 27, btype 1, money 564}
-> customer[278]: {atime 277, dtime 65, btype 0, money 992}
-> customer[281]: {atime 280, dtime 84, btype 0, money 334}
-> customer[284]: {atime 283, dtime 40, btype 1, money 11}
-> customer[287]: {atime 286, dtime 26, btype 0, money 377}
-> customer[290]: {atime 289, dtime 16, btype 1, money 4}
-> customer[293]: {atime 292, dtime 33, btype 0, money 160}
-> customer[296]: {atime 295, dtime 36, btype 1, money 294}
-> customer[299]: {atime 298, dtime 8, btype 1, money 576}
-> customer[302]: {atime 301, dtime 55, btype 1, money 401}
-> customer[305]: {atime 304, dtime 47, btype 1, money 280}
-> customer[308]: {atime 307, dtime 25, btype 1, money 574}
-> customer[309]: {atime 308, dtime 74, btype 0, money 947}
-> customer[312]: {atime 311, dtime 81, btype 0, money 906}
-> customer[315]: {atime 314, dtime 27, btype 0, money 168}
-> customer[319]: {atime 318, dtime 61, btype 0, money 435}
-> customer[322]: {atime 321, dtime 95, btype 0, money 680}
-> customer[325]: {atime 324, dtime 71, btype 0, money 788}
-> customer[326]: {atime 325, dtime 74, btype 1, money 106}
-> customer[329]: {atime 328, dtime 91, btype 0, money 243}
-> customer[332]: {atime 331, dtime 5, btype 1, money 233}
-> customer[335]: {atime 334, dtime 30, btype 1, money 714}
-> customer[338]: {atime 337, dtime 64, btype 1, money 933}
-> customer[341]: {atime 340, dtime 38, btype 0, money 124}
-> customer[344]: {atime 343, dtime 57, btype 0, money 905}
-> customer[347]: {atime 346, dtime 20, btype 1, money 652}
-> customer[350]: {atime 349, dtime 66, btype 0, money 61}
-> customer[353]: {atime 352, dtime 66, btype 1, money 717}
-> customer[356]: {atime 355, dtime 68, btype 0, money 130}
-> customer[359]: {atime 358, dtime 37, btype 0, money 475}
-> customer[363]: {atime 362, dtime 43, btype 0, money 96}
-> customer[366]: {atime 365, dtime 33, btype 1, money 760}
-> customer[369]: {atime 368, dtime 68, btype 1, money 900}
-> customer[373]: {atime 372, dtime 56, btype 1, money 421}
-> customer[376]: {atime 375, dtime 87, btype 1, money 353}
-> customer[379]: {atime 378, dtime 43, btype 0, money 122}
-> customer[382]: {atime 381, dtime 89, btype 1, money 718}
-> customer[385]: {atime 384, dtime 60, btype 0, money 520}
-> customer[388]: {atime 387, dtime 87, btype 0, money 614}
-> customer[391]: {atime 390, dtime 60, btype 1, money 302}
-> customer[393]: {atime 392, dtime 15, btype 1, money 524}
-> customer[395]: {atime 394, dtime 52, btype 1, money 466}
-> customer[398]: {atime 397, dtime 43, btype 1, money 165}
-> customer[401]: {atime 400, dtime 4, btype 1, money 691}
-> customer[405]: {atime 404, dtime 38, btype 1, money 592}
-> customer[408]: {atime 407, dtime 90, btype 0, money 42}
-> customer[414]: {atime 413, dtime 86, btype 0, money 183}
-> customer[415]: {atime 414, dtime 68, btype 0, money 816}
-> customer[416]: {atime 415, dtime 73, btype 0, money 889}
-> customer[419]: {atime 418, dtime 19, btype 1, money 815}
-> customer[422]: {atime 421, dtime 89, btype 0, money 643}
-> customer[425]: {atime 424, dtime 95, btype 1, money 222}
-> customer[428]: {atime 427, dtime 76, btype 0, money 106}
-> customer[431]: {atime 430, dtime 85, btype 0, money 204}
-> customer[434]: {atime 433, dtime 16, btype 0, money 420}
-> customer[437]: {atime 436, dtime 30, btype 0, money 387}
-> customer[440]: {atime 439, dtime 54, btype 1, money 532}
-> customer[444]: {atime 443, dtime 93, btype 0, money 593}
-> customer[447]: {atime 446, dtime 67, btype 1, money 775}
-> customer[450]: {atime 449, dtime 98, btype 0, money 841}
-> customer[457]: {atime 456, dtime 4, btype 0, money 449}
-> customer[460]: {atime 459, dtime 23, btype 1, money 521}
-> customer[463]: {atime 462, dtime 95, btype 0, money 55}
-> customer[466]: {atime 465, dtime 77, btype 0, money 56}
-> customer[469]: {atime 468, dtime 11, btype 0, money 23}
-> customer[472]: {atime 471, dtime 31, btype 1, money 151}
-> customer[475]: {atime 474, dtime 5, btype 1, money 351}
-> customer[476]: {atime 475, dtime 2, btype 0, money 693}
-> customer[479]: {atime 478, dtime 96, btype 0, money 494}
-> customer[482]: {atime 481, dtime 90, btype 0, money 778}
-> customer[485]: {atime 484, dtime 21, btype 1, money 151}
-> customer[488]: {atime 487, dtime 73, btype 1, money 212}
-> customer[491]: {atime 490, dtime 65, btype 1, money 269}
-> customer[496]: {atime 495, dtime 27, btype 0, money 53}
-> customer[499]: {atime 498, dtime 75, btype 0, money 36}
-> customer[502]: {atime 501, dtime 70, btype 0, money 244}
-> customer[506]: {atime 505, dtime 29, btype 0, money 460}
-> customer[509]: {atime 508, dtime 56, btype 1, money 251}
-> customer[512]: {atime 511, dtime 23, btype 1, money 449}
-> customer[515]: {atime 514, dtime 7, btype 1, money 474}
-> customer[518]: {atime 517, dtime 89, btype 0, money 205}
-> customer[521]: {atime 520, dtime 84, btype 1, money 730}
-> customer[524]: {atime 523, dtime 8, btype 1, money 132}
-> customer[527]: {atime 526, dtime 41, btype 0, money 264}
-> customer[530]: {atime 529, dtime 66, btype 1, money 284}
-> customer[533]: {atime 532, dtime 19, btype 0, money 363}
-> customer[539]: {atime 538, dtime 63, btype 0, money 586}
-> customer[542]: {atime 541, dtime 71, btype 1, money 496}
-> customer[545]: {atime 544, dtime 66, btype 0, money 326}
-> customer[548]: {atime 547, dtime 9, btype 0, money 454}
-> customer[551]: {atime 550, dtime 43, btype 0, money 922}
-> customer[554]: {atime 553, dtime 32, btype 0, money 441}
-> customer[557]: {atime 556, dtime 58, btype 1, money 264}
-> customer[560]: {atime 559, dtime 59, btype 1, money 3}
-> customer[563]: {atime 562, dtime 64, btype 1, money 252}
-> customer[566]: {atime 565, dtime 42, btype 0, money 812}
-> customer[569]: {atime 568, dtime 92, btype 0, money 665}
-> customer[570]: {atime 569, dtime 39, btype 0, money 591}
-> customer[573]: {atime 572, dtime 29, btype 0, money 262}
-> customer[578]: {atime 577, dtime 86, btype 1, money 146}
-> customer[579]: {atime 578, dtime 6, btype 1, money 460}
-> customer[582]: {atime 581, dtime 26, btype 1, money 574}
-> customer[585]: {atime 584, dtime 53, btype 0, money 615}
-> customer[588]: {atime 587, dtime 69, btype 1, money 794}
-> customer[591]: {atime 590, dtime 92, btype 0, money 36}
-> customer[594]: {atime 593, dtime 71, btype 0, money 804}
-> customer[597]: {atime 596, dtime 91, btype 1, money 859}
-> customer[600]: {atime 599, dtime 88, btype 0, money 510}
-> customer[603]: {atime 602, dtime 93, btype 0, money 898}
-> customer[606]: {atime 605, dtime 60, btype 0, money 647}
-> customer[609]: {atime 608, dtime 10, btype 0, money 48}
-> customer[612]: {atime 611, dtime 17, btype 1, money 850}
-> customer[615]: {atime 614, dtime 41, btype 1, money 636}
-> customer[618]: {atime 617, dtime 64, btype 0, money 662}
-> customer[621]: {atime 620, dtime 97, btype 1, money 477}
-> customer[626]: {atime 625, dtime 9, btype 1, money 957}
-> customer[629]: {atime 628, dtime 61, btype 0, money 981}
-> customer[632]: {atime 631, dtime 74, btype 0, money 102}
-> customer[635]: {atime 634, dtime 47, btype 0, money 31}
-> customer[638]: {atime 637, dtime 99, btype 1, money 383}
-> customer[641]: {atime 640, dtime 8, btype 0, money 315}
-> customer[644]: {atime 643, dtime 69, btype 0, money 541}
-> customer[647]: {atime 646, dtime 99, btype 0, money 614}
-> customer[650]: {atime 649, dtime 37, btype 1, money 614}
-> customer[653]: {atime 652, dtime 23, btype 0, money 129}
-> customer[656]: {atime 655, dtime 69, btype 1, money 133}
-> customer[659]: {atime 658, dtime 32, btype 0, money 105}
-> customer[662]: {atime 661, dtime 14, btype 0, money 624}
-> customer[665]: {atime 664, dtime 13, btype 1, money 767}
-> customer[666]: {atime 665, dtime 40, btype 0, money 666}
-> customer[670]: {atime 669, dtime 8, btype 0, money 409}
-> customer[673]: {atime 672, dtime 74, btype 1, money 575}
-> customer[674]: {atime 673, dtime 43, btype 1, money 924}
-> customer[678]: {atime 677, dtime 77, btype 0, money 247}
-> customer[681]: {atime 680, dtime 77, btype 1, money 891}
-> customer[684]: {atime 683, dtime 64, btype 1, money 883}
-> customer[686]: {atime 685, dtime 17, btype 0, money 769}
-> customer[688]: {atime 687, dtime 35, btype 1, money 684}
-> customer[691]: {atime 690, dtime 11, btype 1, money 170}
-> customer[694]: {atime 693, dtime 2, btype 0, money 16}
-> customer[697]: {atime 696, dtime 95, btype 0, money 653}
-> customer[700]: {atime 699, dtime 92, btype 1, money 454}
-> customer[703]: {atime 702, dtime 21, btype 1, money 933}
-> customer[706]: {atime 705, dtime 25, btype 1, money 596}
-> customer[708]: {atime 707, dtime 7, btype 1, money 247}
-> customer[710]: {atime 709, dtime 40, btype 1, money 436}
-> customer[713]: {atime 712, dtime 6, btype 0, money 974}
-> customer[716]: {atime 715, dtime 42, btype 0, money 819}
-> customer[719]: {atime 718, dtime 52, btype 0, money 889}
-> customer[722]: {atime 721, dtime 44, btype 1, money 407}
-> customer[725]: {atime 724, dtime 48, btype 0, money 631}
-> customer[728]: {atime 727, dtime 61, btype 0, money 212}
-> customer[731]: {atime 730, dtime 17, btype 1, money 60}
-> customer[734]: {atime 733, dtime 45, btype 1, money 496}
-> customer[737]: {atime 736, dtime 86, btype 1, money 850}
-> customer[740]: {atime 739, dtime 66, btype 0, money 382}
-> customer[743]: {atime 742, dtime 56, btype 0, money 988}
-> customer[746]: {atime 745, dtime 60, btype 1, money 556}
-> customer[749]: {atime 748, dtime 97, btype 1, money 916}
-> customer[752]: {atime 751, dtime 71, btype 1, money 839}
-> customer[753]: {atime 752, dtime 94, btype 1, money 494}
-> customer[757]: {atime 756, dtime 97, btype 1, money 69}
-> customer[760]: {atime 759, dtime 79, btype 1, money 48}
-> customer[764]: {atime 763, dtime 56, btype 0, money 599}
-> customer[767]: {atime 766, dtime 62, btype 0, money 388}
-> customer[770]: {atime 769, dtime 57, btype 0, money 847}
-> customer[773]: {atime 772, dtime 46, btype 0, money 597}
-> customer[776]: {atime 775, dtime 80, btype 0, money 13}
-> customer[779]: {atime 778, dtime 43, btype 0, money 379}
-> customer[782]: {atime 781, dtime 72, btype 0, money 866}
-> customer[785]: {atime 784, dtime 46, btype 0, money 977}
-> customer[788]: {atime 787, dtime 41, btype 0, money 512}
-> customer[791]: {atime 790, dtime 94, btype 1, money 275}
-> customer[794]: {atime 793, dtime 15, btype 0, money 710}
-> customer[797]: {atime 796, dtime 55, btype 1, money 618}
-> customer[800]: {atime 799, dtime 96, btype 1, money 135}
-> customer[803]: {atime 802, dtime 6, btype 0, money 666}
-> customer[806]: {atime 805, dtime 55, btype 0, money 273}
-> customer[807]: {atime 806, dtime 30, btype 1, money 50}
-> customer[810]: {atime 809, dtime 17, btype 1, money 422}
-> customer[813]: {atime 812, dtime 48, btype 0, money 333}
-> customer[816]: {atime 815, dtime 55, btype 0, money 278}
-> customer[819]: {atime 818, dtime 23, btype 1, money 272}
-> customer[822]: {atime 821, dtime 26, btype 0, money 4}
-> customer[825]: {atime 824, dtime 38, btype 0, money 122}
-> customer[828]: {atime 827, dtime 40, btype 1, money 293}
-> customer[831]: {atime 830, dtime 99, btype 0, money 520}
-> customer[834]: {atime 833, dtime 49, btype 0, money 421}
-> customer[837]: {atime 836, dtime 81, btype 1, money 4}
-> customer[840]: {atime 839, dtime 56, btype 0, money 137}
-> customer[843]: {atime 842, dtime 40, btype 1, money 858}
-> customer[848]: {atime 847, dtime 83, btype 1, money 706}
-> customer[851]: {atime 850, dtime 91, btype 1, money 366}
-> customer[854]: {atime 853, dtime 84, btype 0, money 906}
-> customer[857]: {atime 856, dtime 21, btype 1, money 77}
-> customer[860]: {atime 859, dtime 58, btype 1, money 53}
-> customer[863]: {atime 862, dtime 48, btype 1, money 507}
-> customer[866]: {atime 865, dtime 96, btype 0, money 114}
-> customer[867]: {atime 866, dtime 11, btype 0, money 22}
-> customer[870]: {atime 869, dtime 54, btype 1, money 236}
-> customer[873]: {atime 872, dtime 89, btype 0, money 860}
-> customer[876]: {atime 875, dtime 100, btype 1, money 848}
-> customer[879]: {atime 878, dtime 56, btype 1, money 422}
-> customer[882]: {atime 881, dtime 60, btype 0, money 188}
-> customer[885]: {atime 884, dtime 2, btype 1, money 284}
-> customer[888]: {atime 887, dtime 93, btype 0, money 530}
-> customer[891]: {atime 890, dtime 100, btype 0, money 868}
-> customer[894]: {atime 893, dtime 54, btype 1, money 145}
-> customer[897]: {atime 896, dtime 48, btype 0, money 990}
-> customer[900]: {atime 899, dtime 39, btype 1, money 285}
-> customer[903]: {atime 902, dtime 6, btype 0, money 294}
-> customer[906]: {atime 905, dtime 99, btype 0, money 739}
-> customer[910]: {atime 909, dtime 95, btype 1, money 417}
-> customer[912]: {atime 911, dtime 77, btype 0, money 551}
-> customer[914]: {atime 913, dtime 55, btype 1, money 974}
-> customer[917]: {atime 916, dtime 12, btype 0, money 295}
-> customer[920]: {atime 919, dtime 99, btype 1, money 467}
-> customer[923]: {atime 922, dtime 3, btype 0, money 210}
-> customer[926]: {atime 925, dtime 74, btype 0, money 731}
-> customer[932]: {atime 931, dtime 91, btype 0, money 585}
-> customer[933]: {atime 932, dtime 93, btype 1, money 214}
-> customer[936]: {atime 935, dtime 21, btype 0, money 743}
-> customer[939]: {atime 938, dtime 83, btype 1, money 991}
-> customer[942]: {atime 941, dtime 99, btype 0, money 551}
-> customer[945]: {atime 944, dtime 97, btype 0, money 193}
-> customer[948]: {atime 947, dtime 63, btype 1, money 235}
-> customer[951]: {atime 950, dtime 45, btype 0, money 49}
-> customer[955]: {atime 954, dtime 20, btype 0, money 697}
-> customer[958]: {atime 957, dtime 28, btype 0, money 494}
-> customer[960]: {atime 959, dtime 51, btype 0, money 410}
-> customer[962]: {atime 961, dtime 56, btype 0, money 159}
-> customer[965]: {atime 964, dtime 7, btype 1, money 542}
-> customer[968]: {atime 967, dtime 51, btype 1, money 822}
-> customer[971]: {atime 970, dtime 78, btype 0, money 226}
-> customer[974]: {atime 973, dtime 39, btype 1, money 719}
-> customer[977]: {atime 976, dtime 87, btype 0, money 538}
-> customer[980]: {atime 979, dtime 4, btype 1, money 189}
-> customer[983]: {atime 982, dtime 24, btype 1, money 314}
-> customer[986]: {atime 985, dtime 37, btype 0, money 591}
-> customer[989]: {atime 988, dtime 99, btype 1, money 915}
-> customer[992]: {atime 991, dtime 29, btype 1, money 871}
-> customer[996]: {atime 995, dtime 44, btype 0, money 557}

QueueB:
-> customer[59]: {atime 58, dtime 71, btype 0, money 571}
-> customer[60]: {atime 59, dtime 1, btype 0, money 644}
-> customer[57]: {atime 56, dtime 28, btype 0, money 887}
-> customer[77]: {atime 76, dtime 99, btype 0, money 870}



-----------------------------------------------------------------------------------
Event: occur_time = 997, type = -1
Bankmoney: 51
QueueANo.1:
-> customer[86]: {atime 85, dtime 79, btype 0, money 66}
-> customer[89]: {atime 88, dtime 55, btype 0, money 403}
-> customer[92]: {atime 91, dtime 27, btype 0, money 277}
-> customer[95]: {atime 94, dtime 87, btype 1, money 649}
-> customer[98]: {atime 97, dtime 3, btype 1, money 929}
-> customer[101]: {atime 100, dtime 25, btype 1, money 742}
-> customer[104]: {atime 103, dtime 47, btype 1, money 460}
-> customer[112]: {atime 111, dtime 46, btype 1, money 665}
-> customer[115]: {atime 114, dtime 13, btype 1, money 603}
-> customer[116]: {atime 115, dtime 17, btype 0, money 280}
-> customer[119]: {atime 118, dtime 96, btype 0, money 437}
-> customer[122]: {atime 121, dtime 54, btype 1, money 211}
-> customer[125]: {atime 124, dtime 4, btype 0, money 793}
-> customer[128]: {atime 127, dtime 28, btype 0, money 111}
-> customer[131]: {atime 130, dtime 92, btype 1, money 796}
-> customer[134]: {atime 133, dtime 7, btype 0, money 699}
-> customer[137]: {atime 136, dtime 74, btype 1, money 839}
-> customer[142]: {atime 141, dtime 73, btype 1, money 143}
-> customer[143]: {atime 142, dtime 31, btype 1, money 336}
-> customer[146]: {atime 145, dtime 17, btype 0, money 218}
-> customer[149]: {atime 148, dtime 54, btype 0, money 240}
-> customer[152]: {atime 151, dtime 51, btype 1, money 46}
-> customer[155]: {atime 154, dtime 34, btype 1, money 355}
-> customer[158]: {atime 157, dtime 40, btype 0, money 53}
-> customer[159]: {atime 158, dtime 27, btype 0, money 906}
-> customer[162]: {atime 161, dtime 17, btype 1, money 190}
-> customer[165]: {atime 164, dtime 71, btype 1, money 738}
-> customer[168]: {atime 167, dtime 13, btype 0, money 846}
-> customer[171]: {atime 170, dtime 14, btype 0, money 107}
-> customer[174]: {atime 173, dtime 64, btype 0, money 646}
-> customer[176]: {atime 175, dtime 26, btype 0, money 808}
-> customer[178]: {atime 177, dtime 13, btype 1, money 101}
-> customer[182]: {atime 181, dtime 70, btype 0, money 209}
-> customer[185]: {atime 184, dtime 99, btype 0, money 652}
-> customer[189]: {atime 188, dtime 8, btype 1, money 155}
-> customer[194]: {atime 193, dtime 43, btype 1, money 662}
-> customer[197]: {atime 196, dtime 77, btype 0, money 834}
-> customer[201]: {atime 200, dtime 50, btype 0, money 996}
-> customer[204]: {atime 203, dtime 15, btype 1, money 464}
-> customer[207]: {atime 206, dtime 29, btype 1, money 13}
-> customer[210]: {atime 209, dtime 30, btype 1, money 665}
-> customer[213]: {atime 212, dtime 10, btype 1, money 160}
-> customer[216]: {atime 215, dtime 100, btype 1, money 3}
-> customer[219]: {atime 218, dtime 72, btype 0, money 570}
-> customer[222]: {atime 221, dtime 21, btype 1, money 860}
-> customer[225]: {atime 224, dtime 98, btype 0, money 652}
-> customer[228]: {atime 227, dtime 35, btype 1, money 943}
-> customer[231]: {atime 230, dtime 14, btype 1, money 131}
-> customer[234]: {atime 233, dtime 86, btype 1, money 595}
-> customer[237]: {atime 236, dtime 15, btype 0, money 721}
-> customer[240]: {atime 239, dtime 58, btype 1, money 986}
-> customer[243]: {atime 242, dtime 76, btype 1, money 512}
-> customer[247]: {atime 246, dtime 66, btype 0, money 536}
-> customer[251]: {atime 250, dtime 15, btype 1, money 379}
-> customer[254]: {atime 253, dtime 24, btype 0, money 113}
-> customer[257]: {atime 256, dtime 60, btype 1, money 779}
-> customer[260]: {atime 259, dtime 90, btype 1, money 494}
-> customer[263]: {atime 262, dtime 40, btype 1, money 170}
-> customer[266]: {atime 265, dtime 32, btype 1, money 927}
-> customer[269]: {atime 268, dtime 8, btype 0, money 809}
-> customer[272]: {atime 271, dtime 44, btype 1, money 469}
-> customer[274]: {atime 273, dtime 47, btype 0, money 77}
-> customer[276]: {atime 275, dtime 54, btype 1, money 89}
-> customer[279]: {atime 278, dtime 75, btype 0, money 755}
-> customer[282]: {atime 281, dtime 20, btype 0, money 340}
-> customer[285]: {atime 284, dtime 29, btype 0, money 278}
-> customer[288]: {atime 287, dtime 26, btype 0, money 410}
-> customer[291]: {atime 290, dtime 70, btype 1, money 988}
-> customer[294]: {atime 293, dtime 11, btype 0, money 833}
-> customer[297]: {atime 296, dtime 90, btype 1, money 924}
-> customer[300]: {atime 299, dtime 38, btype 0, money 557}
